iter	Passed	Remaining
382	278246	84999
383	278929	84260
384	279586	83512
385	280277	82776
386	281054	82065
387	281764	81334
388	282440	80593
389	283101	79849
390	283807	79117
391	284522	78388
392	285207	77652
393	285864	76907
394	286530	76166
395	287188	75423
396	287845	74680
397	288498	73936
398	289160	73196
399	289841	72460
400	290494	71718
401	291161	70979
402	291855	70247
403	292527	69511
404	293193	68773
405	293926	68051
406	294585	67313
407	295255	66577
408	295921	65840
409	296573	65101
410	297441	64409
411	298230	63699
412	299064	62998
413	299895	62297
414	300547	61557
415	301347	60848
416	302131	60136
417	302855	59411
418	303611	58693
419	304364	57974
420	305018	57236
421	305689	56501
422	306337	55763
423	306977	55024
424	307690	54298
425	308348	53562
426	309003	52827
427	309717	52101
428	310446	51379
429	311233	50665
430	312153	49973
431	313071	49279
432	313866	48565
433	314718	47860
434	315536	47149
435	316238	46420
436	317019	45703
437	317767	44980
438	318457	44250
439	319130	43517
440	319815	42787
441	320479	42053
442	321137	41320
443	321811	40588
444	322479	39856
445	323155	39126
446	323871	38400
447	324623	37679
448	325346	36954
449	326025	36225
450	326705	35495
451	327400	34768
452	328082	34039
453	328893	33324
454	329655	32603
455	330526	31892
456	331357	31178
457	332108	30455
458	332863	29732
459	333650	29013
460	334549	28302
461	335451	27591
462	336228	26869
463	336932	26141
464	337582	25409
465	338245	24678
466	338919	23949
467	339573	23218
468	340223	22488
469	340886	21758
470	341640	21035
471	342380	20310
472	343052	19582
473	343794	18857
474	344442	18128
475	345110	17400
476	345795	16673
477	346476	15946
478	347134	15218
479	347805	14491
480	348577	13769
481	349233	13041
482	349919	12315
483	350592	11589
484	351254	10863
485	351910	10137
486	352577	9411
487	353232	8686
488	354093	7965
489	354887	7242
490	355981	6525
491	356865	5802
492	357730	5079
493	358553	4354
494	359263	3628
495	360101	2904
496	360846	2178
497	361676	1452
498	362509	726
499	363349	0
